source_key,source_url,source_table,source_row,retrieved_at,Name,Type,Quantity,Origin,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,1,2026-09-15T04:05:32Z,Prithvi Air Defense (PAD),Anti-ballistic missile,,India,Exoatmospheric (outside the atmosphere) interceptor system
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,2,2026-09-15T04:05:32Z,Advanced Air Defence (AAD),Anti-ballistic missile,,India,Endo atmospheric (within the atmosphere) interceptor system
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,3,2026-09-15T04:05:32Z,S-300PMU-2,Strategic Surface-to-air missile,6 systems,Russia,Still officially unacknowledged.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,4,2026-09-15T04:05:32Z,SA-5 Gammon,Strategic SAM system,,Soviet Union,Still officially unacknowledged.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,5,2026-09-15T04:05:32Z,SA-3 Goa,Strategic SAM system,,Soviet Union,It is designed to defend large areas from bomber attack or other strategic aircraft.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,6,2026-09-15T04:05:32Z,Akash,Surface-to-air missile,10000+ Missiles,India,More on Order. Indigenously developed surface to air missile to replace SA6. Both with Army and Air Force
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,7,2026-09-15T04:05:32Z,Kub (SA-6 Gainful),Surface-to-air missile,,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,8,2026-09-15T04:05:32Z,9K33 Osa (SA-8 Gecko),6x6 amphibious Surface-to-air missile system,80,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,9,2026-09-15T04:05:32Z,9K31 Strela-1 (SA-9 Gaskin),Vehicle-mounted SAM system,400,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,10,2026-09-15T04:05:32Z,9K35 Strela-10 (SA-13 Gopher),Surface-to-air missile,,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,11,2026-09-15T04:05:32Z,S-75 Dvina (SA-2 Guideline),Strategic SAM system,,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,12,2026-09-15T04:05:32Z,9K22 Tunguska,Self-propelled anti-aircraft weapon,132–184,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,13,2026-09-15T04:05:32Z,ZSU-23-4M 'Shilka',Self-propelled anti-aircraft gun,100,Soviet Union,To be upgraded.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,14,2026-09-15T04:05:32Z,Bofors L40/70,Anti-aircraft artillery,1920,Sweden,40mm gun. Upgraded L/60. To be replaced by 430 domestically-built anti-aircraft gun systems.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,15,2026-09-15T04:05:32Z,Bofors L40/60,Anti-aircraft artillery,1280,Sweden,40mm gun. To be replaced.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,16,2026-09-15T04:05:32Z,ZSU-23-2,Anti-aircraft artillery,800,Soviet Union,Twin 23 mm AA gun
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,17,2026-09-15T04:05:32Z,SA-16 Gimlet,MANPADS,,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,18,2026-09-15T04:05:32Z,SA-7 Grail,MANPADS,,Russia,To be phased out.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,19,2026-09-15T04:05:32Z,FIM-92 Stinger,MANPADS,,United States,245
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,20,2026-09-15T04:05:32Z,SA-14 Gremlin,MANPADS,,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,21,2026-09-15T04:05:32Z,SA-18 Grouse,MANPADS,,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,10,22,2026-09-15T04:05:32Z,Akash SAM.jpgAkash SAMSa6 1.jpgSA-6 GainfulBulgarian SA-8.jpgSA-8 Gecko,Akash SAM.jpgAkash SAMSa6 1.jpgSA-6 GainfulBulgarian SA-8.jpgSA-8 Gecko,Akash SAM.jpgAkash SAMSa6 1.jpgSA-6 GainfulBulgarian SA-8.jpgSA-8 Gecko,Akash SAM.jpgAkash SAMSa6 1.jpgSA-6 GainfulBulgarian SA-8.jpgSA-8 Gecko,Akash SAM.jpgAkash SAMSa6 1.jpgSA-6 GainfulBulgarian SA-8.jpgSA-8 Gecko
