claim_id,publisher,title,published_date,field,value,url,system_aliases,branch_aliases
drdo_akash_operational,DRDO,Akash,Not stated,status_and_role,Inducted and operational with the Indian Army and Indian Air Force; short-range surface-to-air missile system.,https://drdo.gov.in/drdo/en/offerings/products/akash,"[""Akash""]","[""Indian Army"", ""Indian Air Force""]"
drdo_brahmos_operational,DRDO,BrahMos,Not stated,status_and_role,"Inducted and operational with the Indian Navy and Indian Army; land-, sea-, and air-launched supersonic cruise-missile system.",https://drdo.gov.in/drdo/en/offerings/products/brahmos,"[""BrahMos"", ""Brahmos""]","[""Indian Army"", ""Indian Navy""]"
drdo_mrsam_users,DRDO,MRSAM,Not stated,status_and_users,Jointly developed with IAI for IAF and Army Air Defence; firing units have been delivered to both users.,https://drdo.gov.in/drdo/en/offerings/products/mrsam,"[""MRSAM"", ""MR-SAM""]","[""Indian Army"", ""Indian Air Force""]"
drdo_guided_pinaka_induction_recommendation,DRDO,Guided Pinaka Rocket System,Not stated,development_status,"Guided Pinaka development and qualification activities were reported complete, with the trial team recommending induction; upgraded in-service launchers remained under evaluation.",https://drdo.gov.in/drdo/en/offerings/products/guided-pinaka-rocket-system,"[""Pinaka""]","[""Indian Army""]"
pib_tejas_mk1a_contract,Ministry of Defence / PIB,"MoD signs ₹62,370 crore contract with HAL for procurement of 97 LCA Mk1A aircraft for IAF",25 September 2025,contract_and_delivery,MoD signed a contract for 97 LCA Mk1A aircraft on 25 September 2025; deliveries were stated to start in 2027–28 and complete over six years.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2171108&lang=2&reg=3,"[""Tejas Mk1A"", ""HAL Tejas""]","[""Indian Air Force""]"
pib_acada_contract,Ministry of Defence / PIB,Indian Army procures critical CBRN defence equipment,26 February 2025,contract_and_quantity,Contract signed on 25 February 2025 for 223 Automatic Chemical Agent Detection and Alarm systems designed by DRDO's Defence Research and Development Establishment and procured from L&T.,https://www.pib.gov.in/pressreleasepage.aspx?lang=2&prid=2106362&reg=48,"[""ACADA""]","[""Indian Army""]"
pib_atags_contract,Ministry of Defence / PIB,"MoD inks ₹6,900 crore contracts for ATAGS and HMV 6x6 gun-towing vehicles",26 March 2025,contract_and_role,MoD signed contracts on 26 March 2025 for 155 mm/52 calibre ATAGS and 6x6 gun-towing vehicles; ATAGS is intended to replace vintage smaller-calibre guns.,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2115365&lang=2&reg=48,"[""ATAGS"", ""Advanced Towed Artillery Gun System""]","[""Indian Army""]"
pib_namis_contract,Ministry of Defence / PIB,MoD inks contracts for NAMIS Tracked and light vehicles,27 March 2025,contract_and_role,MoD signed a contract on 27 March 2025 for the NAMIS tracked anti-tank weapon platform; the system is intended to modernize mechanized-infantry anti-tank capability.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2115804&lang=2&reg=48&s=09,"[""NAMIS"", ""NAMICA""]","[""Indian Army""]"
pib_nag_mk2_trials,Ministry of Defence / PIB,Successful field evaluation trials of Nag Mk 2,13 January 2025,trial_status,Field evaluation trials were reported successful on 13 January 2025 and the weapon system was described as ready for induction.,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2092585&lang=2&reg=48,"[""Nag Mk 2""]","[""Indian Army""]"
pib_invar_contract,Ministry of Defence / PIB,MoD and BDL sign contract for INVAR anti-tank missiles,13 November 2025,contract_and_role,"MoD and BDL signed a ₹2,095.70 crore contract on 13 November 2025 for INVAR anti-tank missiles for T-90 tanks.",https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2189725&lang=2&reg=48,"[""INVAR"", ""3UBK-Invar"", ""9M119""]","[""Indian Army""]"
pib_ins_surat_nilgiri_vaghsheer,Ministry of Defence / PIB,"PM dedicates INS Surat, INS Nilgiri and INS Vaghsheer",15 January 2025,commissioning_date,The three platforms were commissioned on 15 January 2025.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2093018&lang=1&reg=20,"[""INS Surat"", ""INS Nilgiri"", ""INS Vaghsheer""]","[""Indian Navy""]"
pib_ins_arnala,Ministry of Defence / PIB,INS Arnala commissioned into the Indian Navy,18 June 2025,commissioning_role_dimensions,"INS Arnala was commissioned on 18 June 2025; it is an ASW shallow-water craft, 77 m long and over 1,490 tonnes, designed for subsurface surveillance/interdiction, search and rescue, and low-intensity maritime operations.",https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2137263&lang=2&reg=48,"[""INS Arnala"", ""Arnala class""]","[""Indian Navy""]"
pib_ins_nistar,Ministry of Defence / PIB,INS Nistar commissioned in Vizag,18 July 2025,commissioning_role,"INS Nistar, the first indigenously designed and constructed diving support vessel, was commissioned on 18 July 2025 for deep-sea diving and rescue operations.",https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2145766,"[""INS Nistar"", ""Nistar class""]","[""Indian Navy""]"
pib_ins_tamal,Ministry of Defence / PIB,INS Tamal commissioned into the Indian Navy,1 July 2025,commissioning_date,INS Tamal was commissioned on 1 July 2025; it is the eighth Project 1135.6 multi-role stealth frigate and second additional Tushil-class ship.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2141361&lang=2&reg=48,"[""INS Tamal"", ""Talwar class""]","[""Indian Navy""]"
pib_ins_udaygiri_himgiri,Ministry of Defence / PIB,INS Udaygiri and INS Himgiri commissioned,26 August 2025,commissioning_date,INS Udaygiri and INS Himgiri were commissioned on 26 August 2025 as Project 17A stealth frigates.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2160941&lang=1&reg=37,"[""INS Udaygiri"", ""INS Himgiri"", ""Udaygiri class"", ""Himgiri class""]","[""Indian Navy""]"
