source_key,source_url,source_table,source_row,retrieved_at,Destroyer (13) | Class,Destroyer (13) | Image,Destroyer (13) | Boat,Destroyer (13) | No.,Destroyer (13) | Disp. (t),Destroyer (13) | Comm.,Destroyer (13) | Origin,Destroyer (13) | Homeport,Destroyer (13) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,1,2026-09-15T04:05:32Z,Visakhapatnam class,,INS Visakhapatnam,D66,7400,2021,India,Mumbai,Upgraded derivative of the Kolkata-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,2,2026-09-15T04:05:32Z,Visakhapatnam class,,INS Mormugao,D67,7400,2022,India,Karwar,Upgraded derivative of the Kolkata-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,3,2026-09-15T04:05:32Z,Visakhapatnam class,,INS Imphal,D68,7400,2023,India,Mumbai,Upgraded derivative of the Kolkata-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,4,2026-09-15T04:05:32Z,Visakhapatnam class,,INS Surat,D69,7400,2025,India,Mumbai,Upgraded derivative of the Kolkata-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,5,2026-09-15T04:05:32Z,Kolkata class,,INS Kolkata,D63,7400,2014,India,Mumbai,Upgraded derivative of Delhi-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,6,2026-09-15T04:05:32Z,Kolkata class,,INS Kochi,D64,7400,2015,India,Mumbai,Upgraded derivative of Delhi-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,7,2026-09-15T04:05:32Z,Kolkata class,,INS Chennai,D65,7400,2016,India,Karwar,Upgraded derivative of Delhi-class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,8,2026-09-15T04:05:32Z,Delhi class,,INS Delhi,D61,6200,1997,India,Visakhapatnam,First class of indigenously-built destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,9,2026-09-15T04:05:32Z,Delhi class,,INS Mysore,D60,6200,1999,India,Visakhapatnam,First class of indigenously-built destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,10,2026-09-15T04:05:32Z,Delhi class,,INS Mumbai,D62,6200,2001,India,Visakhapatnam,First class of indigenously-built destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,11,2026-09-15T04:05:32Z,Rajput class,,INS Rana,D52,4974,1982,Soviet Union,Visakhapatnam,Indian-derivative of the Kashin class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,12,2026-09-15T04:05:32Z,Rajput class,,INS Ranvir,D54,4974,1986,Soviet Union,Visakhapatnam,Indian-derivative of the Kashin class destroyers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,13,2026-09-15T04:05:32Z,Rajput class,,INS Ranvijay,D55,4974,1987,Soviet Union,Visakhapatnam,Indian-derivative of the Kashin class destroyers.
