source_key,source_url,source_table,source_row,retrieved_at,Type | Combat,Picture | Combat,Role | Combat,No. of airframes | Combat,Origin | Combat,Status | Combat,Note | Combat
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,1,2026-09-15T04:05:32Z,Twin Engine Deck Based Fighter (TEDBF),,Carrier-based multirole fighter,,India,Design Phase,The first flight of the TEDBF is targeted for 2032–33 with the fighter expected to be inducted into the Navy by 2038.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,2,2026-09-15T04:05:32Z,Dassault Rafale,,Carrier-based multirole fighter,26,France,On order,The acquisition is a part of the Multi-Role Carrier Borne Fighters programme to acquire 57 fighter jets for the carrier air wing of INS Vikrant. The quantity was revised to 26 jets. Rafale-M was chosen over the Boeing F/A-18E/F Super Hornet in 2023. The deal was signed in April 2025. first aircraft delivery is expected in August–September 2026 as of 23 March 2026.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,3,2026-09-15T04:05:32Z,UAV,UAV,UAV,UAV,UAV,UAV,UAV
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,4,2026-09-15T04:05:32Z,Naval Shipborne Unmanned Aerial System (NSUAS),,Unmanned Rotorcraft/Shipborne UAV,40,,Planned,"Proposal to buy 10 NSUAS for around ₹ 1,300 crores cleared by the government in 2021. RFI to purchase total of 40 units released in 2023. The Defence Acquisition Council (DAC) cleared the procurement p[roject for the Navy in July 2026."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,5,2026-09-15T04:05:32Z,Multi Utility Long Endurance Drone (MULE),,Unmanned Rotorcraft/Shipborne UAV,,,Under development,"Contract signed with Altair Infrasec for MULE RPA which will be a NSUAS class UAV. Primary Roles: C4, ISTAR, SIGNIT, COMINT and Maritime Domain Awareness (MDA) operations for a Task Force. Secondary Roles: Anti-piracy, Anti-terrorist activities and assistance in Search and Rescue (SAR). Payloads: EO/IR, AIS, Maritime Patrol Radar, EW and communication relay with a capacity of >50 kg (110 lb). Endurance: >12 hours."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,6,2026-09-15T04:05:32Z,IAI-HAL NRUAV,,Unmanned Rotorcraft/Shipborne UAV,,India Israel,Planned,
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,7,2026-09-15T04:05:32Z,MQ-9B SeaGuardian,,Unmanned combat aerial vehicle,2 in service (on lease) 15 more on order.,United States,On order,The deal was signed on 15 October 2024. Deliveries to begin from January 2029.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,8,2026-09-15T04:05:32Z,Medium Altitude Long Endurance Drone (MALE),,Unmanned aerial vehicle,,,Planned,Defence Acquisition Council (DAC) approved the procurement of 87 Medium Altitude Long Endurance (MALE) drones for the Indian Armed Forces.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,9,2026-09-15T04:05:32Z,NewSpace Abhimanyu,,Loyal wingman/ Unmanned combat aerial vehicle,,India,Under Development,Contract signed for development and procurement of specified number of systems.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,10,2026-09-15T04:05:32Z,NewSpace Arka,,High altitude pseudo-satellite,,India,Under Development,Contract signed for design & development of indigenous High Altitude Pseudo-Satellite (HAPS) for Indian Navy.
