source_key,source_url,source_table,source_row,retrieved_at,Commission,Indian Navy,Indian Army,Indian Air Force
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,1,2026-09-15T04:05:32Z,Commissioned,Admiral of the fleet,Field marshal,Marshal of the Indian Air Force
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,2,2026-09-15T04:05:32Z,Commissioned,Admiral,General,Air chief marshal
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,3,2026-09-15T04:05:32Z,Commissioned,Vice admiral,Lieutenant general,Air marshal
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,4,2026-09-15T04:05:32Z,Commissioned,Rear admiral,Major general,Air vice marshal
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,5,2026-09-15T04:05:32Z,Commissioned,Commodore,Brigadier,Air commodore
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,6,2026-09-15T04:05:32Z,Commissioned,Captain,Colonel,Group captain
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,7,2026-09-15T04:05:32Z,Commissioned,Commander,Lieutenant colonel,Wing commander
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,8,2026-09-15T04:05:32Z,Commissioned,Lieutenant commander,Major,Squadron leader
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,9,2026-09-15T04:05:32Z,Commissioned,Lieutenant,Captain,Flight lieutenant
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,10,2026-09-15T04:05:32Z,Commissioned,Sub lieutenant,Lieutenant,Flying officer
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,11,2026-09-15T04:05:32Z,Junior commissioned,Master chief petty officer 1st class,Subedar major[Alt 1],Master warrant officer
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,12,2026-09-15T04:05:32Z,Junior commissioned,Master chief petty officer 2nd class,Subedar[Alt 2],Warrant officer
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,13,2026-09-15T04:05:32Z,Junior commissioned,Chief petty officer,Naib subedar[Alt 3],Junior warrant officer
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,14,2026-09-15T04:05:32Z,Non-commissioned,Petty officer,Havildar/Daffadar,Sergeant
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,15,2026-09-15T04:05:32Z,Non-commissioned,Leading seaman,Naik/Lance daffadar,Corporal
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,16,2026-09-15T04:05:32Z,Non-commissioned,Seaman 1,Lance naik/Acting Lance-Daffadar,Leading aircraftsman
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,17,2026-09-15T04:05:32Z,Non-commissioned,Seaman 2,Sepoy/Sowar,Aircraftsman
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,5,18,2026-09-15T04:05:32Z,↑ Risaldar major in cavalry and armoured regiments ↑ Risaldar in cavalry and armoured regiments ↑ Naib risaldar in cavalry and armoured regiments. Called jemadar until 1965.,↑ Risaldar major in cavalry and armoured regiments ↑ Risaldar in cavalry and armoured regiments ↑ Naib risaldar in cavalry and armoured regiments. Called jemadar until 1965.,↑ Risaldar major in cavalry and armoured regiments ↑ Risaldar in cavalry and armoured regiments ↑ Naib risaldar in cavalry and armoured regiments. Called jemadar until 1965.,↑ Risaldar major in cavalry and armoured regiments ↑ Risaldar in cavalry and armoured regiments ↑ Naib risaldar in cavalry and armoured regiments. Called jemadar until 1965.
