source_key,source_url,source_table,source_row,retrieved_at,Barge (37) | Class,Barge (37) | Image,Barge (37) | Boat,Barge (37) | Pennant No.,Barge (37) | Disp. (t),Barge (37) | Origin,Barge (37) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,1,2026-09-15T03:49:19Z,IRS class ACTCM,,LSAM 7 to 14,75 to 82,100,India,"First batch and second batch, classified as MCA and ACTCM barges, have been constructed by SECON Engineering and Suryadipta Projects, respectively. These provide logistics support to ships."
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,2,2026-09-15T03:49:19Z,IRS class ACTCM,,LSAM 15 to 24,125 to 135,100,India,"First batch and second batch, classified as MCA and ACTCM barges, have been constructed by SECON Engineering and Suryadipta Projects, respectively. These provide logistics support to ships."
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,3,2026-09-15T03:49:19Z,Hooghly class,—,INS Hooghly,—,1700,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,4,2026-09-15T03:49:19Z,Hooghly class,—,—,—,1700,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,5,2026-09-15T03:49:19Z,Hooghly class,—,—,—,1700,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,6,2026-09-15T03:49:19Z,Hooghly class,—,—,—,1700,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,7,2026-09-15T03:49:19Z,Ambika class,,INS Ambika,—,1000,India,High Sulphur Diesel Oiler built by HSL in 1993
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,8,2026-09-15T03:49:19Z,Modest class,—,INS Purak,—,731,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,9,2026-09-15T03:49:19Z,Modest class,—,INS Puran,—,731,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,10,2026-09-15T03:49:19Z,Poshak class,—,INS Poshak,—,671,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,11,2026-09-15T03:49:19Z,Vipul class,—,INS Pamba,—,578,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,12,2026-09-15T03:49:19Z,Vipul class,—,INS Pulakesin-1,—,578,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,13,2026-09-15T03:49:19Z,Vipul class,—,INS Ambuda,—,578,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,14,2026-09-15T03:49:19Z,Corporated class,—,INS SB-I,—,220,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,15,2026-09-15T03:49:19Z,Corporated class,—,INS SB-II,—,220,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,16,2026-09-15T03:49:19Z,Corporated class,—,INS SB-V,—,220,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,17,2026-09-15T03:49:19Z,Corporated class,—,INS SB-VII,—,220,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,18,2026-09-15T03:49:19Z,Amrit-class victualling barge,—,INS Amrit,—,tonnes,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,19,2026-09-15T03:49:19Z,Amrit-class victualling barge,—,INS Pankaj,—,tonnes,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,20,2026-09-15T03:49:19Z,Sahayak-class hopper barge,—,INS Sahayak,—,tonnes,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,19,21,2026-09-15T03:49:19Z,Sahayak-class hopper barge,—,INS Sevak,—,tonnes,India,—
