source_key,source_url,source_table,source_row,retrieved_at,Name | Self-propelled anti-aircraft guns,Image | Self-propelled anti-aircraft guns,Type | Self-propelled anti-aircraft guns,Quantity | Self-propelled anti-aircraft guns,Origin | Self-propelled anti-aircraft guns,Notes | Self-propelled anti-aircraft guns
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,1,2026-09-15T03:49:19Z,ZSU-23-4M Shilka,,Self-propelled anti-aircraft weapon,75,Soviet Union India,Status: In service. Upgraded by Bharat Electronics Limited with AESA Fire Control Radar. 75 in service as of 2024.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,2,2026-09-15T03:49:19Z,2K22 Tunguska,,Self-propelled anti-aircraft weapon (SAMs),80,Russia,Status: In service. 2S6M variant in service with Corps of Army Air Defence.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,3,2026-09-15T03:49:19Z,Towed anti-aircraft guns,Towed anti-aircraft guns,Towed anti-aircraft guns,Towed anti-aircraft guns,Towed anti-aircraft guns,Towed anti-aircraft guns
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,4,2026-09-15T03:49:19Z,ZU-23-2,,Anti-aircraft gun,320,Soviet Union India,"Status: In service. Upgraded locally with electro-optical fire control system for detecting, tracking and engaging targets with precision."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,5,2026-09-15T03:49:19Z,Bofors L/70 Bofors L/70 Upgraded,,Anti-aircraft gun,~1720200,Sweden India,Status: In service. Bought in the 1960s from Sweden. To be upgraded by Bharat Electronics Limited. Status: In service. Older L-70 system upgraded by Bharat Electronics Limited. Also used as anti drone system by integrating it with Zen Anti-Drone System.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,6,2026-09-15T03:49:19Z,Bofors L/60,,Anti-aircraft gun,Unknown,Sweden,Status: In service (To be replaced by Sudarshan CIWS).
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,7,2026-09-15T03:49:19Z,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,8,2026-09-15T03:49:19Z,AK-630,,C-RAM,6,Russia India,Status: Indian Army Air Defence has floated an RFP (Request for Proposal) for the procurement of six AK-630 Air Defence Gun Systems with AWEIL.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,9,2026-09-15T03:49:19Z,Carrier Air Defence Tracked (CADET),,Self-propelled anti-aircraft weapon (SAMs),90+,India,Status: Tender (RFI) issued in 2024. Track-based (4 crew) platform with high power-to-weight ratio. To be integrated with Akashteer Control & Reporting system and surface-to-air missiles or anti-aircraft guns or both. To be deployed on various terrains along with mechanised columns. The platform will be further used to develop other variants of air defence systems. The Defence Acquisition Council cleared the programme on 26 March 2026.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,10,2026-09-15T03:49:19Z,Sudarshan CIWS,,Close-in weapon system,~200 (to be ordered),India,"Status: In Service. Advanced version of Bofors L/70 manufactured by L&T Defence. System includes 3D AESA radar and has a range of 3.5 km and firing rate of 300 rounds/min. Two orders cleared: ₹6,000 crore (equivalent to ₹67 billion or US$700 million in 2023) order cleared by Defence Acquisition Council (DAC) for Indian Army in 2022. ₹7,000 crore (US$730 million) order cleared for 240 guns by CCS for Indian Air Force in 2024."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,9,11,2026-09-15T03:49:19Z,,,Anti-aircraft gun,220 planned,India,"Status: User trials from July 2025. RfP sent in October 2021. Contract by June 2026. To replace L/70 and Zu-23. Two Indian firms have bid for guns and smart ammunition. The contract includes 1,41,576 rounds of ammunition including 37,440 programmable rounds."
