source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,1,2026-09-15T03:49:19Z,Rifle Grenade,,Rifle grenade,,India,Status: In service. Used both with 7.62 mm SLR and 5.56 mm INSAS.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,2,2026-09-15T03:49:19Z,Shivalik,,Hand grenade,,India,"Status: In service. MoD signed a ₹409 crore (equivalent to ₹481 crore or US$50 million in 2023) deal with Solar Group, Nagpur to buy 1 million grenades. Shivalik grenade is used in hand mode offensive and hand mode defensive. Can be used in rifle mode. Types can be interchanged by changing the outer sleeve of the grenade."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,3,2026-09-15T03:49:19Z,ARDE 40MM UBGL,,Grenade launcher (40mm),,India,Status: In service. Standard under-barrel grenade launcher for INSAS and AK-family rifles in the Indian Army. Manufactured by Ordnance Factory Tiruchirappalli.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,4,2026-09-15T03:49:19Z,Multi grenade launcher 40 mm,,Multi grenade launcher (40mm),,India South Africa,Status: In service. Semi automatic six shot 40mm × 46mm low velocity grenade launcher. Manufactured at Ordnance Factory Tiruchirappalli.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,5,2026-09-15T03:49:19Z,AGS-30,,Automatic grenade launcher,,India Russia,Status: In service..
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,6,2026-09-15T03:49:19Z,AT4CS AST,,Recoilless gun (84mm),,Sweden,Status: In service. Order placed in January 2022. Deliveries completed by February 2025.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,7,2026-09-15T03:49:19Z,Carl Gustav RCL M2/M3/M4,,Recoilless rifle (84mm),,India Sweden,Status: In service. Carl Gustav Recoilless Rifle produced by OFB. M4 variant used by special forces.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,8,2026-09-15T03:49:19Z,B-300 Shipon,,Anti-tank rocket (82mm),,Israel,Status: In service. Used by special forces.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,9,2026-09-15T03:49:19Z,RPO-A Shmel,,Thermobaric rocket launcher (93mm),,Russia,Status: In service.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,10,2026-09-15T03:49:19Z,C90-CR-RB(M3),,Anti-tank rocket (90mm),,Spain,Status: In service. Used by special forces.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,11,2026-09-15T03:49:19Z,51 mm E1 mortar,,Mortar,,India,Status: In service.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,12,2026-09-15T03:49:19Z,L16 81mm mortar,,Mortar,,India,Status: In service.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,13,2026-09-15T03:49:19Z,Mines,Mines,Mines,Mines,Mines,Mines
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,14,2026-09-15T03:49:19Z,NMM-14,,Anti-personnel mine,,United States,Status: In limited service. Being replaced by Nipun mine.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,15,2026-09-15T03:49:19Z,Nipun,,Anti-personnel mine,20 lots,India,"Status: In service. Operated by Corps of Engineers with 700,000 on order. The mine is designated as Soft Target Munition and includes a mix of RDX. It was developed by ARDE and HEMRL and is manufactured by private sector companies Economic Explosives Ltd, Nagpur and Premier Explosives Ltd, Secunderabad."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,16,2026-09-15T03:49:19Z,Ulka,,Anti-personnel mine,"100,000[citation needed]",India,Status: Under development. Designated as Jumping Fragmentation Munition.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,17,2026-09-15T03:49:19Z,Parth,,Anti-personnel mine,"100,000[citation needed]",India,Status: Under development. Designated as Directional Fragmentation Munition.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,18,2026-09-15T03:49:19Z,Prachand,,Anti-tank mine,"100,000[citation needed]",India,Status: Under development. Designated as Anti-Tank Munition.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,19,2026-09-15T03:49:19Z,Vibhav,,Anti-tank mine,600,India,Status: In service. Designed and developed as Anti-Tank Point Attack Munition by DRDO. In trials with engineer corps in 2021. In production by Kalyani Strategic Systems Ltd. Uses an electronic anti-handling and anti-lift device (EAHALD) and remains active for 120 days after manual or mechanical deployment. Induction continues as of 2026.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,4,20,2026-09-15T03:49:19Z,Vishal,,Anti-tank mine,,India,Status: Under development. Designated as Anti-Tank Bar Munition.
