source_key,source_url,source_table,source_row,retrieved_at,Name | Uniforms and Gears,Image | Uniforms and Gears,Type | Uniforms and Gears,Quantity | Uniforms and Gears,Origin Country | Uniforms and Gears,Notes | Uniforms and Gears
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,1,2026-09-15T03:49:19Z,New Battle Dress Uniform (NBDU) (2022–present),,Military camouflage Combat uniform,,India,"Status: In service Designed by the National Institute of Fashion Technology (NIFT), consisting of a pixelated camouflage pattern, with improved ergonomics and greater operational efficiency. Was first revealed on Army Day 2022."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,2,2026-09-15T03:49:19Z,Indian Army Snow Camouflage,,Military camouflage Combat uniform,,India,Status: In service
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,3,2026-09-15T03:49:19Z,New Coat Combat (Digital Print),,Military camouflage Combat uniform,,India,Status: In service. Designed by NIFT.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,4,2026-09-15T03:49:19Z,PC-DPM (c.2006-2026),,Military camouflage Combat uniform,,France,Status: In service/being phased out. Standard uniform since 2006 using French CCE pattern printed on BDU. Being replaced by new NIFT made uniform since 2022. The uniform will remain in service till June 2026.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,5,2026-09-15T03:49:19Z,High altitude combat uniform,,Combat uniform,,India,Status: In service/being phased out. to be replaced by New Indian Army Snow Camouflage. Used extensively on high altitudes such as Siachen Glacier
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,6,2026-09-15T03:49:19Z,Boot Anti Mine Infantry (BAMI),,Combat boots,,India,"Status: In Service, used by forward troops Developed by DRDO"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,7,2026-09-15T03:49:19Z,Ballistic Vest and Protective Gear,Ballistic Vest and Protective Gear,Ballistic Vest and Protective Gear,Ballistic Vest and Protective Gear,Ballistic Vest and Protective Gear,Ballistic Vest and Protective Gear
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,8,2026-09-15T03:49:19Z,Bhabha Kavach,,Ballistic vest,"<30,000",India,"Status: In service, Unknown numbers in service. Named after Homi J. Bhabha"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,9,2026-09-15T03:49:19Z,SMPP Vest,,Ballistic Vest,"2,36,138(236,138)",India,"Status: In service, Manufactured by SMPP Pvt. Ltd. First order was placed in 2016 through revenue route for 50,000 vests in 2016 with all delivered by 2017. A second order was placed in April 2018 for 1,86,138 (186,138) bulletproof vests worth ₹639 crore (US$93.44 million) while deliveries were completed by August 2024. An additional order for 27,700 units as part of a larger ₹300 crore (US$31 million) deal placed in July 2025. The vest features dynamic load distribution and quick release system."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,10,2026-09-15T03:49:19Z,Tata 360 Ballistic Vest,,Ballistic vest,"62,500",India,"Status: In service, Ordered under emergency procurement."
