source_key,source_url,source_table,source_row,retrieved_at,Offshore Patrol Vessel (10) | Class,Offshore Patrol Vessel (10) | Image,Offshore Patrol Vessel (10) | Boat,Offshore Patrol Vessel (10) | No.,Offshore Patrol Vessel (10) | Disp. (t),Offshore Patrol Vessel (10) | Comm.,Offshore Patrol Vessel (10) | Origin,Offshore Patrol Vessel (10) | Homeport,Offshore Patrol Vessel (10) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,1,2026-09-15T03:49:19Z,Saryu class,,INS Saryu,P54,2300,2013,India,Sri Vijaya Puram,Used for maritime patrol operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,2,2026-09-15T03:49:19Z,Saryu class,,INS Sunayna,P57,2300,2013,India,Kochi,Used for maritime patrol operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,3,2026-09-15T03:49:19Z,Saryu class,,INS Sumedha,P58,2300,2014,India,Sri Vijaya Puram,Used for maritime patrol operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,4,2026-09-15T03:49:19Z,Saryu class,,INS Sumitra,P59,2300,2014,India,Chennai,Used for maritime patrol operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,5,2026-09-15T03:49:19Z,Sukanya class,,INS Sukanya,P50,1900,1989,South Korea India,Mumbai,Doubled as light frigates; served additional role as missile test platforms.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,6,2026-09-15T03:49:19Z,Sukanya class,,INS Subhadra,P51,1900,1990,South Korea India,Mumbai,Doubled as light frigates; served additional role as missile test platforms.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,7,2026-09-15T03:49:19Z,Sukanya class,,INS Suvarna,P52,1900,1991,South Korea India,Mumbai,Doubled as light frigates; served additional role as missile test platforms.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,8,2026-09-15T03:49:19Z,Sukanya class,,INS Savitri,P53,1900,1990,South Korea India,Visakhapatnam,Doubled as light frigates; served additional role as missile test platforms.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,9,2026-09-15T03:49:19Z,Sukanya class,,INS Sharda,P55,1900,1991,South Korea India,Kochi,Doubled as light frigates; served additional role as missile test platforms.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,10,2026-09-15T03:49:19Z,Sukanya class,,INS Sujata,P56,1900,1993,South Korea India,Kochi,Doubled as light frigates; served additional role as missile test platforms.
