source_key,source_url,source_table,source_row,retrieved_at,Aircraft | Combat aircraft,Origin | Combat aircraft,Type | Combat aircraft,Variant | Combat aircraft,Units | Combat aircraft,Status | Combat aircraft,Note | Combat aircraft
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,1,2026-09-15T03:49:19Z,HAL Tejas,India,Multirole,Mk1A,141,On order,
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,2,2026-09-15T03:49:19Z,Su-30MKI,India Russia,Multirole,,12,On order,Deliveries between FY2027–28 and 2029.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,3,2026-09-15T03:49:19Z,Dassault Rafale,India France,Multirole,,114,Planned,The procurement kicked off when the Acquisition Wing of the MoD issued the Letter of Request (LoR) in the last week of May 2026. This will be followed by a response from France.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,4,2026-09-15T03:49:19Z,AWACS,AWACS,AWACS,AWACS,AWACS,AWACS,AWACS
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,5,2026-09-15T03:49:19Z,Netra Mk 1A (EMB145),India Brazil,AEW&C,Mk1A,6,Under development,Based on EMB 145 airframe.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,6,2026-09-15T03:49:19Z,Netra Mk 2 (Airbus A321),India European Union,AEW&C,Mk2,6,Under development,Based on Airbus A321 airframe.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,7,2026-09-15T03:49:19Z,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,8,2026-09-15T03:49:19Z,HAL Prachand,India,Attack,,66,Ordered,
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,9,2026-09-15T03:49:19Z,HAL Light Utility Helicopter,India,Utility,,6,Ordered,6 units are being built under Limited Series Production (LSP).
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,10,2026-09-15T03:49:19Z,Trainer aircraft,Trainer aircraft,Trainer aircraft,Trainer aircraft,Trainer aircraft,Trainer aircraft,Trainer aircraft
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,11,2026-09-15T03:49:19Z,HAL Tejas,India,Conversion Trainer,Mk1,18,In production,6 delivered
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,12,2026-09-15T03:49:19Z,HAL Tejas,India,Conversion Trainer,Mk1A,29,Ordered,
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,13,2026-09-15T03:49:19Z,HAL HTT-40,India,Trainer,,70,Ordered,"70 ordered worth ₹6,800 crore (US$900 million);Option for 35 more"
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,14,2026-09-15T03:49:19Z,Transport aircraft,Transport aircraft,Transport aircraft,Transport aircraft,Transport aircraft,Transport aircraft,Transport aircraft
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,15,2026-09-15T03:49:19Z,Airbus C-295,Spain India,Transport,C-295MW,40,In production,"16 delivered of total 56. First 16 C295s assembled by Airbus in Seville, Spain, while the remaining 40 is being built in partnership with TASL in Vadodara, India"
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,16,2026-09-15T03:49:19Z,Medium Transport Aircraft (MTA),,Transport,,60,Planned,"In 2026, the Ministry of Defense issued the tender for the procurement of Medium Transport Aircraft for IAF. Contenders: Embraer C-390 Millenium, Airbus A400M Atlas and Lockheed Martin C-130J Super Hercules."
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,17,2026-09-15T03:49:19Z,Reconnaissance,Reconnaissance,Reconnaissance,Reconnaissance,Reconnaissance,Reconnaissance,Reconnaissance
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,18,2026-09-15T03:49:19Z,ISTAR aircraft,India,ISTAR,,3,Planned,
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,19,2026-09-15T03:49:19Z,Flight Refueling Aircraft,Flight Refueling Aircraft,Flight Refueling Aircraft,Flight Refueling Aircraft,Flight Refueling Aircraft,Flight Refueling Aircraft,Flight Refueling Aircraft
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,20,2026-09-15T03:49:19Z,Boeing 767,United States Israel,Aerial Refueler,KC-767 MRTT,6,Planned,Converted from commercial aircraft.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,21,2026-09-15T03:49:19Z,,,Aerial Refueler,,6,Planned,Purpose-built mid-air refuellers.
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,22,2026-09-15T03:49:19Z,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle,Unmanned combat aerial vehicle
iaf_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Air_Force,1,23,2026-09-15T03:49:19Z,Remotely Piloted Strike Aircraft (RPSA),,UCAV,,60,Planned,Four squadrons with 20 aircraft each. DRDO Ghatak is expected to fulfil the requirement.
