source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,1,2026-09-15T03:49:19Z,Force Gurkha 4×4 (Dhwansak),,Light utility vehicle,,India,"Status: In Service, was ordered in 2018. Further 2,978 units of Light Strike Vehicle (LSV) variant ordered on 27 March 2025. To be used by the Indian Air Force also. Payload: 800 kg; Soft Top model."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,2,2026-09-15T03:49:19Z,Tata Safari Storme,,Light utility vehicle,"1,300",India,Status:In Service. 3193 units ordered in May 2017. GS800 category. To replace Maruti Suzuki Gypsy.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,3,2026-09-15T03:49:19Z,Tata Xenon,,Light utility vehicle,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,4,2026-09-15T03:49:19Z,Royal Enfield Bullet,,Light 2-person transport vehicle,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,5,2026-09-15T03:49:19Z,Tata Sumo,,Light utility vehicle,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,6,2026-09-15T03:49:19Z,Toyota Hilux,,Light utility vehicle,,Japan India,Status: In Service with Northern Command.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,7,2026-09-15T03:49:19Z,Mahindra Scorpio,,Light utility vehicle,3300,India,Status: Armored version in service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,8,2026-09-15T03:49:19Z,Mahindra Scorpio Pik-up,,Pickup truck,,India,"Status: On order. 1,986 units ordered on 27 May 2025. Payload: 800 kg."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,9,2026-09-15T03:49:19Z,Mahindra 550,,Light utility vehicle,,India,Status: In service. Used as troop carrier
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,10,2026-09-15T03:49:19Z,Maruti Suzuki Gypsy,,Light utility vehicle,35000,India Japan,Status: In service. Additional 541 ordered in July 2020.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,11,2026-09-15T03:49:19Z,Toyota Fortuner,,Light utility vehicle,,India Japan,Status: In Service. Army Signals Corps. fitted with telecommunication devices.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,12,2026-09-15T03:49:19Z,Mitsubishi Pajero,,Staff transport,,Japan,Status: In service. Deployed at the Indo-Chinese Border.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,13,2026-09-15T03:49:19Z,Ashok Leyland Short Chassis 4×2,,Minibus,,India,"Status: Ordered. 500 pre-fragmented short chassis, worth ₹197.35 crore (US$20 million), ordered on 18 March 2025."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,14,2026-09-15T03:49:19Z,Polaris Sportsman 6x6 ATV,,All-terrain vehicle,,India United States,Status: In service. Used on Indo-Tibetian border
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,15,2026-09-15T03:49:19Z,Polaris Ranger,,All-terrain vehicle,,India United States,Status: In service. Used on Indo-Tibetian border
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,16,2026-09-15T03:49:19Z,Polaris MRZR,,All-terrain vehicle,,United States,Status: In service. Multi-purpose all-terrain vehicle. In service with Indian Army Northern Command.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,17,2026-09-15T03:49:19Z,Arctic Cat Alterra TBX 700,,All-terrain vehicle,,United States,Status: In service. Used by PARA SF[citation needed]
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,18,2026-09-15T03:49:19Z,JSW Kapidhwaj,,All-terrain vehicle,96,India,"Status: In service. Also known as ATOR N1200 Specialist Mobility Vehicle (SMV), an Indianised variant of SHERP N1200."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,19,2026-09-15T03:49:19Z,BsV10 Sindhu,,All-terrain vehicle,,United Kingdom India,Status: On order. Local production by Larsen & Toubro.
