source_key,source_url,source_table,source_row,retrieved_at,Name | Anti-Satellite Missile Systems,Image | Anti-Satellite Missile Systems,Type | Anti-Satellite Missile Systems,Quantity | Anti-Satellite Missile Systems,Origin | Anti-Satellite Missile Systems,Notes | Anti-Satellite Missile Systems
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,1,2026-09-15T03:49:19Z,Prithvi Defence Vehicle (PDV) Mk-II,,Exo-atmospheric Anti-ballistic missile / Anti-satellite weapon,Unknown,India,"Status: In service. Dual-stage solid-fueled missile with final kinetic-kill stage. Target speed: 10 km/s. Flight Altitude: 1,200 km"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,2,2026-09-15T03:49:19Z,Anti-Ballistic Missile Systems,Anti-Ballistic Missile Systems,Anti-Ballistic Missile Systems,Anti-Ballistic Missile Systems,Anti-Ballistic Missile Systems,Anti-Ballistic Missile Systems
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,3,2026-09-15T03:49:19Z,Prithvi Defence Vehicle (PDV),,Exo-atmospheric Anti-ballistic missile,Unknown,India,Status: In service. Dual-stage solid-fueled missile. Flight Altitude: 150 km.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,4,2026-09-15T03:49:19Z,Advanced Air Defence (AAD),,Endo-atmospheric Anti-ballistic missile,Unknown,India,Status: In service.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,5,2026-09-15T03:49:19Z,Prithvi Air Defence (PAD),,Exo-atmospheric Anti-ballistic missile,Unknown,India,Status: being replaced by Prithvi Defence Vehicle (PDV). Dual-stage liquid-fueled missile. It can intercept targets at 80 km altitude.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,6,2026-09-15T03:49:19Z,Air Defence Systems,Air Defence Systems,Air Defence Systems,Air Defence Systems,Air Defence Systems,Air Defence Systems
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,7,2026-09-15T03:49:19Z,S-400 Triumph,,Long-range surface-to-air missile system,3 regiments Total 48 launchers,Russia,Status: In service. 2 more regiments' delivery by 2026. 400 km operational range. Each regiment will have two batteries with eight launchers each.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,8,2026-09-15T03:49:19Z,Barak-8 (MR-SAM),,Medium-range surface-to-air missile,18 squadrons,India Israel,"Status: In service. MRSAM is a medium range air defence system with a max range of 70–80 km. It is used to counter aerial threats such as Fighter aircraft, helicopter, UAV etc. An Air Force Squadron consists of 3 TELs per Squadron."
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,9,2026-09-15T03:49:19Z,Akash,,Medium-range surface-to-air missile,15 squadrons (120 launchers),India,Status: In service. Akash 1S has 40 km operational range and flight ceiling of 20 km. 2 regiments of Akash Prime on order for Army. Akash NG with increased range of 70–80 km is being tested.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,10,2026-09-15T03:49:19Z,SPYDER,,Short and Medium range surface-to-air missile,18 Systems (Batteries),Israel,"Status: In service. 18 SPYDER-SRs Systems (Batteries) along with 750 Python-5 surface to air missiles (SAMs) and 750 Derby SAMs has been delivered. 50 km operational range and flight ceiling of 16 km. A typical battery consists one central command and control unit, six missile firing units, and a resupply vehicle."
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,11,2026-09-15T03:49:19Z,SAMAR,,Short-range Surface-to-air missile,Unknown (On order),India,"Status: On order. The system employs Vympel R-73 and Vympel R-27 air-to-air missiles, which are of Russian origin. User trials complete."
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,12,2026-09-15T03:49:19Z,S-125 (SA-3 Goa),,Short-range Surface-to-air missile,25 Squadrons for IAF,USSR,Status: Being replaced by Akash. Mainly used for point-defense of airbases. Will be completely replaced by Akash NG and MRSAM by 2030
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,13,2026-09-15T03:49:19Z,9K33 Osa (SA-8 Gecko),,Short-range Surface-to-air missile,80,USSR,Status: In service (To be replaced by QRSAM)
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,14,2026-09-15T03:49:19Z,Man-portable air-defense systems,Man-portable air-defense systems,Man-portable air-defense systems,Man-portable air-defense systems,Man-portable air-defense systems,Man-portable air-defense systems
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,15,2026-09-15T03:49:19Z,9K38 Igla (SA-18) 9K338 Igla-S,,Man-portable air-defense system,2500: 87 48 launchers 316 missiles,Russia,"Status: In service. Igla-S deployed along LAC. Additional 96 launchers, 300 missiles of Igla-S on order."
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,16,2026-09-15T03:49:19Z,Air defence - anti-aircraft gun systems,Air defence - anti-aircraft gun systems,Air defence - anti-aircraft gun systems,Air defence - anti-aircraft gun systems,Air defence - anti-aircraft gun systems,Air defence - anti-aircraft gun systems
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,17,2026-09-15T03:49:19Z,Sudarshan CIWS,,Close-in weapon system,240 (to be ordered),India,"Status: In Service. Advanced version of Bofors L/70 manufactured by L&T Defence. System includes 3D AESA radar and has a range of 3.5 km and firing rate of 300 rounds/min. Two orders cleared: ₹6,000 crore (equivalent to ₹67 billion or US$700 million in 2023) order cleared for Indian Army in 2021. ₹7,000 crore (US$730 million) order cleared for 240 guns by CCS for Indian Air Force in 2024."
