source_key,source_url,source_table,source_row,retrieved_at,Name | Handguns,Weapon | Handguns,Type | Handguns,Caliber | Handguns,Origin | Handguns,Notes | Handguns
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,1,2026-09-15T04:05:32Z,Pistol Auto 9mm 1A,,Semi-automatic pistol,9×19mm,India Canada,"Status: In service. Standard side-arm of the Indian Army, manufactured under license from John Inglis and Company by Ordnance Factory Board, used by special forces in small numbers."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,2,2026-09-15T04:05:32Z,Glock,,Semi-automatic pistol,9×19mm,Austria,Status: In service. Standard special forces pistol.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,3,2026-09-15T04:05:32Z,Beretta Px4 Storm,,Semi-automatic pistol,9×19mm,Italy,"Status: In service, with special forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,4,2026-09-15T04:05:32Z,Nonlinear line of sight weapons,Nonlinear line of sight weapons,Nonlinear line of sight weapons,Nonlinear line of sight weapons,Nonlinear line of sight weapons,Nonlinear line of sight weapons
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,5,2026-09-15T04:05:32Z,ShootEdge,,CornerShot,9×19mm,India,"Status: In service, can use all pistols in service as main weapon. It is equivalent to Israel's Cornershot"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,6,2026-09-15T04:05:32Z,DRDO CSWS (CornerShot Weapon System),,CornerShot,9×19mm,India,"Status: In service Developed by DRDO in collaboration with Zen Technologies, can use all pistols in service as main weapon. It is equivalent to Israel's Cornershot"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,7,2026-09-15T04:05:32Z,Shotguns,Shotguns,Shotguns,Shotguns,Shotguns,Shotguns
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,8,2026-09-15T04:05:32Z,12 Bore PAG,,Pump action Shotgun,12-gauge shotgun,India,Status: In service
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,9,2026-09-15T04:05:32Z,SSS Defense T12,,Semi-automatic Shotgun,12-gauge shotgun,India,Status: On order To be used by Northern Command for anti drone warfare.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,10,2026-09-15T04:05:32Z,Submachine guns,Submachine guns,Submachine guns,Submachine guns,Submachine guns,Submachine guns
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,11,2026-09-15T04:05:32Z,"IWI Micro-Uzi ""Tivra""",,Machine pistol,9×19mm,India Israel,"Status: In service, Micro-Uzi variant is used by Special Forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,12,2026-09-15T04:05:32Z,Heckler & Koch MP5,,Submachine gun,9×19mm,West Germany,"Status: In service, used by Special Forces."
