source_key,source_url,source_table,source_row,retrieved_at,Corvette (23) | Class,Corvette (23) | Image,Corvette (23) | Boat,Corvette (23) | No.,Corvette (23) | Disp. (t),Corvette (23) | Comm.,Corvette (23) | Origin,Corvette (23) | Homeport,Corvette (23) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,1,2026-09-15T03:49:19Z,Arnala class,Arnala Sub-class,INS Arnala,P68,1490,2025,India,Visakhapatnam,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,2,2026-09-15T03:49:19Z,Arnala class,Arnala Sub-class,INS Androth,P69,1490,2025,India,Visakhapatnam,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,3,2026-09-15T03:49:19Z,Arnala class,Arnala Sub-class,INS Anjadip,P73,1490,2026,India,Visakhapatnam,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,4,2026-09-15T03:49:19Z,Arnala class,Arnala Sub-class,INS Agray,P36,1490,2026,India,Visakhapatnam,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,5,2026-09-15T03:49:19Z,Mahe class,Mahe sub-class,INS Mahe,P80,1100,2025,India,Mumbai,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,6,2026-09-15T03:49:19Z,Mahe class,Mahe sub-class,INS Malwan,P81,1100,2026,India,Karwar,ASW SWC vessels for anti-submarine warfare in littoral waters. To replace the former Abhay-class corvette.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,7,2026-09-15T03:49:19Z,Kamorta class,,INS Kamorta,P28,3300,2014,India,Visakhapatnam,Dedicated anti-submarine warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,8,2026-09-15T03:49:19Z,Kamorta class,,INS Kadmatt,P29,3300,2016,India,Visakhapatnam,Dedicated anti-submarine warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,9,2026-09-15T03:49:19Z,Kamorta class,,INS Kiltan,P30,3300,2017,India,Visakhapatnam,Dedicated anti-submarine warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,10,2026-09-15T03:49:19Z,Kamorta class,,INS Kavaratti,P31,3300,2020,India,Visakhapatnam,Dedicated anti-submarine warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,11,2026-09-15T03:49:19Z,Kora class,,INS Kora,P61,1400,1998,India,Visakhapatnam,Dedicated anti-surface warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,12,2026-09-15T03:49:19Z,Kora class,,INS Kirch,P62,1400,2001,India,Visakhapatnam,Dedicated anti-surface warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,13,2026-09-15T03:49:19Z,Kora class,,INS Kulish,P63,1400,2001,India,Sri Vijaya Puram,Dedicated anti-surface warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,14,2026-09-15T03:49:19Z,Kora class,,INS Karmuk,P64,1400,2004,India,Sri Vijaya Puram,Dedicated anti-surface warfare vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,15,2026-09-15T03:49:19Z,Khukri class,,INS Kuthar,P46,1350,1990,India,Visakhapatnam,Successor to the IN's Petya II corvettes.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,16,2026-09-15T03:49:19Z,Khukri class,,INS Khanjar,P47,1350,1991,India,Visakhapatnam,Successor to the IN's Petya II corvettes.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,17,2026-09-15T03:49:19Z,Veer class,,INS Vibhuti,K45,455,1991,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,18,2026-09-15T03:49:19Z,Veer class,,INS Vipul,K46,455,1992,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,19,2026-09-15T03:49:19Z,Veer class,,INS Vinash,K47,455,1993,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,20,2026-09-15T03:49:19Z,Veer class,,INS Vidyut,K48,455,1995,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,21,2026-09-15T03:49:19Z,Veer class,,INS Nashak,K83,455,1994,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,22,2026-09-15T03:49:19Z,Veer class,,INS Pralaya,K91,455,2002,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,7,23,2026-09-15T03:49:19Z,Veer class,,INS Prabal,K92,455,2002,India,Mumbai,Customised derivative of the Tarantul-class corvette; used in an anti-surface role.
