source_key,source_url,source_table,source_row,retrieved_at,Name | Tanks,Image | Tanks,Type | Tanks,Quantity | Tanks,Origin | Tanks,Notes | Tanks
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,1,2026-09-15T04:05:32Z,Arjun Mk 1Arjun Mk 1A,,Main battle tank,124 (Mk 1) 2 (Mk 1A),India,Status: In service. 5 Mk 1A to be inducted in 2024. 118 Mk 1A on order
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,2,2026-09-15T04:05:32Z,T-90S Bhishma T-90S Bhishma Mk 2 T-90 Bhishma Mk 3,,Main battle tank,1300 (T-90S) 10 (Mk 3),Russia India,Status: In service. Initial orders were a combination of Russian-made and locally assembled units before being licence-produced by Heavy Vehicles Factory. T-90S being upgraded to T-90MS standard. 464 Mk 3 ordered in 2019. 10 delivered as of 2024.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,3,2026-09-15T04:05:32Z,T-72M1 AjeyaT-72 Ajeya Mk 2 T-72 Combat Improved Ajeya,,Main battle tank,"2,418",Soviet Union India,"Status: In service. To be replaced by Future Ready Combat Vehicle and Future Main Battle Tank programmes. 968 T72M1 upgraded by HVF. 1400 T-72M1 fitted with ERA MK1 armour being upgraded to ERA Mk 2. standard. Further 1,000 tanks will be upgraded with new engines, fire control system & other modern systems."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,4,2026-09-15T04:05:32Z,Zorawar,,Light tank,59 (on order),India,Status: On order. 295 more planned.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,5,2026-09-15T04:05:32Z,Infantry fighting vehicles,Infantry fighting vehicles,Infantry fighting vehicles,Infantry fighting vehicles,Infantry fighting vehicles,Infantry fighting vehicles
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,6,2026-09-15T04:05:32Z,BMP-2 Sarath,,Tracked infantry fighting vehicle,"2,400",India Soviet Union,"Status: In service. All BMP-2/2K vehicles are to be upgraded to BMP-2M standard. Manufactured locally in India by Ordnance Factory Medak. In March 2024, MoD signed an initial contract with AVNL to upgrade 693 units to BMP-2M configuration. Additional 156 units on order."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,7,2026-09-15T04:05:32Z,Tata Kestrel,,Wheeled infantry fighting vehicle,15,India,Status: In service. 9 on order with additional 105 planned.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,8,2026-09-15T04:05:32Z,Tank destroyer,Tank destroyer,Tank destroyer,Tank destroyer,Tank destroyer,Tank destroyer
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,9,2026-09-15T04:05:32Z,NAMICA,,Tracked tank destroyer,,India,Status: On order. 13 units ordered on 27 March 2025.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,10,2026-09-15T04:05:32Z,Miscellaneous tracked vehicles,Miscellaneous tracked vehicles,Miscellaneous tracked vehicles,Miscellaneous tracked vehicles,Miscellaneous tracked vehicles,Miscellaneous tracked vehicles
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,11,2026-09-15T04:05:32Z,NBC Reconnaissance Vehicle,,CRBN reconnaissance vehicle,16,India,Status: In service. BMP-2 based CRBN developed by CVRDE and produced by Ordnance Factory Medak.
